fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s1,1,20260924,all,1,1,127,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,all,1,2,16,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,all,1,3,1,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,all,1,4,0,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,all,2,1,25,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,all,2,2,119,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,all,2,3,0,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,all,2,4,0,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,all,3,1,39,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,all,3,2,43,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,all,3,3,59,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,all,3,4,3,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,all,4,1,39,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,all,4,2,31,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,all,4,3,62,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,all,4,4,12,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,unflagged,1,1,124,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,unflagged,1,2,16,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,unflagged,1,3,0,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,unflagged,1,4,0,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,unflagged,2,1,24,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,unflagged,2,2,115,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,unflagged,2,3,0,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,unflagged,2,4,0,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,unflagged,3,1,37,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,unflagged,3,2,40,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,unflagged,3,3,58,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,unflagged,3,4,2,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,unflagged,4,1,37,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,unflagged,4,2,29,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,unflagged,4,3,60,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,unflagged,4,4,12,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,flagged,1,1,3,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,flagged,1,2,0,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,flagged,1,3,1,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,flagged,1,4,0,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,flagged,2,1,1,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,flagged,2,2,4,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,flagged,2,3,0,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,flagged,2,4,0,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,flagged,3,1,2,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,flagged,3,2,3,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,flagged,3,3,1,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,flagged,3,4,1,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,flagged,4,1,2,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,flagged,4,2,2,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,flagged,4,3,2,MU_BETA_CSP8_EEGNET
loso_s1,1,20260924,flagged,4,4,0,MU_BETA_CSP8_EEGNET
