fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s1,1,20260925,all,1,1,97,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,all,1,2,36,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,all,1,3,10,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,all,1,4,1,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,all,2,1,9,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,all,2,2,133,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,all,2,3,2,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,all,2,4,0,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,all,3,1,17,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,all,3,2,10,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,all,3,3,112,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,all,3,4,5,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,all,4,1,24,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,all,4,2,1,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,all,4,3,110,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,all,4,4,9,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,unflagged,1,1,94,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,unflagged,1,2,35,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,unflagged,1,3,10,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,unflagged,1,4,1,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,unflagged,2,1,8,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,unflagged,2,2,130,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,unflagged,2,3,1,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,unflagged,2,4,0,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,unflagged,3,1,15,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,unflagged,3,2,8,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,unflagged,3,3,110,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,unflagged,3,4,4,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,unflagged,4,1,22,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,unflagged,4,2,1,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,unflagged,4,3,107,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,unflagged,4,4,8,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,flagged,1,1,3,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,flagged,1,2,1,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,flagged,1,3,0,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,flagged,1,4,0,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,flagged,2,1,1,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,flagged,2,2,3,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,flagged,2,3,1,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,flagged,2,4,0,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,flagged,3,1,2,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,flagged,3,2,2,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,flagged,3,3,2,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,flagged,3,4,1,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,flagged,4,1,2,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,flagged,4,2,0,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,flagged,4,3,3,MID_8_30_Q8_EPOCHS
loso_s1,1,20260925,flagged,4,4,1,MID_8_30_Q8_EPOCHS
