fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s1,1,20260924,all,1,1,112,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,all,1,2,29,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,all,1,3,3,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,all,1,4,0,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,all,2,1,17,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,all,2,2,127,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,all,2,3,0,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,all,2,4,0,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,all,3,1,38,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,all,3,2,18,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,all,3,3,81,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,all,3,4,7,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,all,4,1,42,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,all,4,2,2,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,all,4,3,84,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,all,4,4,16,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,unflagged,1,1,109,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,unflagged,1,2,28,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,unflagged,1,3,3,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,unflagged,1,4,0,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,unflagged,2,1,15,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,unflagged,2,2,124,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,unflagged,2,3,0,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,unflagged,2,4,0,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,unflagged,3,1,35,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,unflagged,3,2,17,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,unflagged,3,3,79,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,unflagged,3,4,6,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,unflagged,4,1,40,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,unflagged,4,2,2,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,unflagged,4,3,81,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,unflagged,4,4,15,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,flagged,1,1,3,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,flagged,1,2,1,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,flagged,1,3,0,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,flagged,1,4,0,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,flagged,2,1,2,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,flagged,2,2,3,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,flagged,2,3,0,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,flagged,2,4,0,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,flagged,3,1,3,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,flagged,3,2,1,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,flagged,3,3,2,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,flagged,3,4,1,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,flagged,4,1,2,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,flagged,4,2,0,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,flagged,4,3,3,MU_BETA_SHARED_SOURCE_NORM
loso_s1,1,20260924,flagged,4,4,1,MU_BETA_SHARED_SOURCE_NORM
