fold,stage,inner_fold,seed,epoch,train_ce,val_ce
loso_s1,inner,1.0,20260923,1,1.385822973869465,1.382862581147088
loso_s1,inner,1.0,20260923,2,1.3474666785310816,1.3855098684628804
loso_s1,inner,1.0,20260923,3,1.3244928033263594,1.3943576216697693
loso_s1,inner,1.0,20260923,4,1.2850474295792755,1.419215354654524
loso_s1,inner,1.0,20260923,5,1.2452851357283417,1.4128578768836126
loso_s1,inner,1.0,20260923,6,1.2070325370188113,1.3387342757648892
loso_s1,inner,1.0,20260923,7,1.1856340434816148,1.2897257606188457
loso_s1,inner,1.0,20260923,8,1.1660705550953194,1.2472206321027544
loso_s1,inner,1.0,20260923,9,1.153127881111922,1.2700109514925215
loso_s1,inner,1.0,20260923,10,1.1276570713078533,1.2284335295359294
loso_s1,inner,1.0,20260923,11,1.1156290548819083,1.2353609734111362
loso_s1,inner,1.0,20260923,12,1.1016518738534715,1.1711791621314154
loso_s1,inner,1.0,20260923,13,1.0896212745595861,1.233855687909656
loso_s1,inner,1.0,20260923,14,1.0783827238612704,1.2882563670476277
loso_s1,inner,1.0,20260923,15,1.0620908615765747,1.2483245730400085
loso_s1,inner,1.0,20260923,16,1.072190961352101,1.2486138972971175
loso_s1,inner,1.0,20260923,17,1.0477342793235072,1.2038669519954257
loso_s1,inner,1.0,20260923,18,1.0422024859322443,1.2118697067101796
loso_s1,inner,1.0,20260923,19,1.0497705439726512,1.2293078038427565
loso_s1,inner,1.0,20260923,20,1.0299886652716883,1.4237695005204942
loso_s1,inner,1.0,20260923,21,1.014190744470667,1.224247482087877
loso_s1,inner,1.0,20260923,22,1.0262018861594024,1.3155961963865492
loso_s1,inner,1.0,20260923,23,1.0263302535922438,1.231216828028361
loso_s1,inner,1.0,20260923,24,1.0110088288784027,1.1683843963676028
loso_s1,inner,1.0,20260923,25,1.0027692064091012,1.1916116840309567
loso_s1,inner,1.0,20260923,26,1.0097552648297063,1.3103799753718905
loso_s1,inner,1.0,20260923,27,0.991904221199177,1.200239360332489
loso_s1,inner,1.0,20260923,28,0.9935435862452896,1.1941822734143999
loso_s1,inner,1.0,20260923,29,0.9922749080039837,1.255684044626024
loso_s1,inner,1.0,20260923,30,0.995825684732861,1.1518690652317471
loso_s1,inner,1.0,20260923,31,0.9789611995220184,1.216095997227563
loso_s1,inner,1.0,20260923,32,0.9835828001852389,1.2970937622918024
loso_s1,inner,1.0,20260923,33,0.9649782456733562,1.257053275903066
loso_s1,inner,1.0,20260923,34,0.9775719013479021,1.351781083477868
loso_s1,inner,1.0,20260923,35,0.9619756329942633,1.3122906155056424
loso_s1,inner,1.0,20260923,36,0.9755695086938364,1.203466061088774
loso_s1,inner,1.0,20260923,37,0.9712640731422989,1.1962934467527602
loso_s1,inner,1.0,20260923,38,0.9658456190868661,1.2595019274287753
loso_s1,inner,1.0,20260923,39,0.9430340616791336,1.1874947448571522
loso_s1,inner,1.0,20260923,40,0.9444297496919278,1.2317820853657193
loso_s1,inner,2.0,20260923,1,1.3810157378514607,1.3853242463535733
loso_s1,inner,2.0,20260923,2,1.3332822896816112,1.3976751499705844
loso_s1,inner,2.0,20260923,3,1.2930064289658159,1.4353459543652005
loso_s1,inner,2.0,20260923,4,1.2231941598433036,1.4594140185250177
loso_s1,inner,2.0,20260923,5,1.1761692828602262,1.525655726591746
loso_s1,inner,2.0,20260923,6,1.1345896897492584,1.524811844031016
loso_s1,inner,2.0,20260923,7,1.1063022514184315,1.5652063886324565
loso_s1,inner,2.0,20260923,8,1.0808569413644296,1.6638911498917475
loso_s1,inner,2.0,20260923,9,1.0491980071421023,1.5826005869441562
loso_s1,inner,2.0,20260923,10,1.0268771703596469,1.5590017636617024
loso_s1,inner,2.0,20260923,11,1.0218723957185392,1.629265116320716
loso_s1,inner,2.0,20260923,12,0.9902239949614914,1.5146807630856831
loso_s1,inner,2.0,20260923,13,0.9849854122709345,1.532188309563531
loso_s1,inner,2.0,20260923,14,0.9674221486956985,1.595602936214871
loso_s1,inner,2.0,20260923,15,0.9725032239048569,1.487615896595849
loso_s1,inner,2.0,20260923,16,0.9526792102389865,1.5302068789800007
loso_s1,inner,2.0,20260923,17,0.9481989068013651,1.4915419684516058
loso_s1,inner,2.0,20260923,18,0.9457424934263583,1.6156811118125916
loso_s1,inner,2.0,20260923,19,0.9415434024952076,1.4881104628245037
loso_s1,inner,2.0,20260923,20,0.9288189620883377,1.6101755301157634
loso_s1,inner,2.0,20260923,21,0.9207681527844181,1.5434664686520894
loso_s1,inner,2.0,20260923,22,0.9170803714681555,1.5656402839554682
loso_s1,inner,2.0,20260923,23,0.9123104810714722,1.5833335982428656
loso_s1,inner,2.0,20260923,24,0.923487521983959,1.654324518309699
loso_s1,inner,2.0,20260923,25,0.9022076350671274,1.6624155574374728
loso_s1,inner,2.0,20260923,26,0.9107950186287915,1.545633402135637
loso_s1,inner,2.0,20260923,27,0.8985032648951919,1.5141707592540317
loso_s1,inner,2.0,20260923,28,0.8958316334971675,1.6179964741071065
loso_s1,inner,2.0,20260923,29,0.8916592222672922,1.6088246239556208
loso_s1,inner,2.0,20260923,30,0.9111426925217664,1.5703792439566717
loso_s1,inner,2.0,20260923,31,0.8865994226049494,1.6835869087113275
loso_s1,inner,2.0,20260923,32,0.8749434340883184,1.5075837704870436
loso_s1,inner,2.0,20260923,33,0.8687065056076756,1.5342274241977267
loso_s1,inner,2.0,20260923,34,0.8838592679412277,1.5709387395117018
loso_s1,inner,2.0,20260923,35,0.8622944553693136,1.621418058872223
loso_s1,inner,2.0,20260923,36,0.8730779146706616,1.5866277019182842
loso_s1,inner,2.0,20260923,37,0.875326665463271,1.5286166336801317
loso_s1,inner,2.0,20260923,38,0.8639256236729799,1.5093538562456768
loso_s1,inner,2.0,20260923,39,0.8610826322325954,1.6949667930603027
loso_s1,inner,2.0,20260923,40,0.8612935774856143,1.7081613408194647
loso_s1,inner,3.0,20260923,1,1.378539791813603,1.3846755160225763
loso_s1,inner,3.0,20260923,2,1.3414319356282551,1.3874647219975789
