fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s2,2,20260924,all,1,1,127,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,all,1,2,13,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,all,1,3,4,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,all,1,4,0,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,all,2,1,123,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,all,2,2,19,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,all,2,3,2,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,all,2,4,0,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,all,3,1,126,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,all,3,2,11,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,all,3,3,7,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,all,3,4,0,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,all,4,1,129,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,all,4,2,11,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,all,4,3,4,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,all,4,4,0,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,unflagged,1,1,121,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,unflagged,1,2,13,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,unflagged,1,3,4,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,unflagged,1,4,0,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,unflagged,2,1,121,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,unflagged,2,2,17,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,unflagged,2,3,2,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,unflagged,2,4,0,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,unflagged,3,1,117,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,unflagged,3,2,11,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,unflagged,3,3,7,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,unflagged,3,4,0,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,unflagged,4,1,125,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,unflagged,4,2,11,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,unflagged,4,3,4,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,unflagged,4,4,0,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,flagged,1,1,6,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,flagged,1,2,0,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,flagged,1,3,0,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,flagged,1,4,0,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,flagged,2,1,2,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,flagged,2,2,2,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,flagged,2,3,0,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,flagged,2,4,0,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,flagged,3,1,9,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,flagged,3,2,0,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,flagged,3,3,0,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,flagged,3,4,0,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,flagged,4,1,4,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,flagged,4,2,0,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,flagged,4,3,0,TWO_BAND_INDEPENDENT
loso_s2,2,20260924,flagged,4,4,0,TWO_BAND_INDEPENDENT
