fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s1,1,20260924,all,1,1,53,SOURCE_GROUP_DRO
loso_s1,1,20260924,all,1,2,36,SOURCE_GROUP_DRO
loso_s1,1,20260924,all,1,3,22,SOURCE_GROUP_DRO
loso_s1,1,20260924,all,1,4,33,SOURCE_GROUP_DRO
loso_s1,1,20260924,all,2,1,21,SOURCE_GROUP_DRO
loso_s1,1,20260924,all,2,2,85,SOURCE_GROUP_DRO
loso_s1,1,20260924,all,2,3,21,SOURCE_GROUP_DRO
loso_s1,1,20260924,all,2,4,17,SOURCE_GROUP_DRO
loso_s1,1,20260924,all,3,1,20,SOURCE_GROUP_DRO
loso_s1,1,20260924,all,3,2,32,SOURCE_GROUP_DRO
loso_s1,1,20260924,all,3,3,31,SOURCE_GROUP_DRO
loso_s1,1,20260924,all,3,4,61,SOURCE_GROUP_DRO
loso_s1,1,20260924,all,4,1,14,SOURCE_GROUP_DRO
loso_s1,1,20260924,all,4,2,17,SOURCE_GROUP_DRO
loso_s1,1,20260924,all,4,3,16,SOURCE_GROUP_DRO
loso_s1,1,20260924,all,4,4,97,SOURCE_GROUP_DRO
loso_s1,1,20260924,unflagged,1,1,52,SOURCE_GROUP_DRO
loso_s1,1,20260924,unflagged,1,2,35,SOURCE_GROUP_DRO
loso_s1,1,20260924,unflagged,1,3,22,SOURCE_GROUP_DRO
loso_s1,1,20260924,unflagged,1,4,31,SOURCE_GROUP_DRO
loso_s1,1,20260924,unflagged,2,1,19,SOURCE_GROUP_DRO
loso_s1,1,20260924,unflagged,2,2,84,SOURCE_GROUP_DRO
loso_s1,1,20260924,unflagged,2,3,20,SOURCE_GROUP_DRO
loso_s1,1,20260924,unflagged,2,4,16,SOURCE_GROUP_DRO
loso_s1,1,20260924,unflagged,3,1,18,SOURCE_GROUP_DRO
loso_s1,1,20260924,unflagged,3,2,30,SOURCE_GROUP_DRO
loso_s1,1,20260924,unflagged,3,3,29,SOURCE_GROUP_DRO
loso_s1,1,20260924,unflagged,3,4,60,SOURCE_GROUP_DRO
loso_s1,1,20260924,unflagged,4,1,13,SOURCE_GROUP_DRO
loso_s1,1,20260924,unflagged,4,2,17,SOURCE_GROUP_DRO
loso_s1,1,20260924,unflagged,4,3,16,SOURCE_GROUP_DRO
loso_s1,1,20260924,unflagged,4,4,92,SOURCE_GROUP_DRO
loso_s1,1,20260924,flagged,1,1,1,SOURCE_GROUP_DRO
loso_s1,1,20260924,flagged,1,2,1,SOURCE_GROUP_DRO
loso_s1,1,20260924,flagged,1,3,0,SOURCE_GROUP_DRO
loso_s1,1,20260924,flagged,1,4,2,SOURCE_GROUP_DRO
loso_s1,1,20260924,flagged,2,1,2,SOURCE_GROUP_DRO
loso_s1,1,20260924,flagged,2,2,1,SOURCE_GROUP_DRO
loso_s1,1,20260924,flagged,2,3,1,SOURCE_GROUP_DRO
loso_s1,1,20260924,flagged,2,4,1,SOURCE_GROUP_DRO
loso_s1,1,20260924,flagged,3,1,2,SOURCE_GROUP_DRO
loso_s1,1,20260924,flagged,3,2,2,SOURCE_GROUP_DRO
loso_s1,1,20260924,flagged,3,3,2,SOURCE_GROUP_DRO
loso_s1,1,20260924,flagged,3,4,1,SOURCE_GROUP_DRO
loso_s1,1,20260924,flagged,4,1,1,SOURCE_GROUP_DRO
loso_s1,1,20260924,flagged,4,2,0,SOURCE_GROUP_DRO
loso_s1,1,20260924,flagged,4,3,0,SOURCE_GROUP_DRO
loso_s1,1,20260924,flagged,4,4,5,SOURCE_GROUP_DRO
