fold,subject,seed,stratum,true_label,predicted_label,count
loso_s2,2,20260924,all,1,1,111
loso_s2,2,20260924,all,1,2,33
loso_s2,2,20260924,all,1,3,0
loso_s2,2,20260924,all,1,4,0
loso_s2,2,20260924,all,2,1,117
loso_s2,2,20260924,all,2,2,27
loso_s2,2,20260924,all,2,3,0
loso_s2,2,20260924,all,2,4,0
loso_s2,2,20260924,all,3,1,117
loso_s2,2,20260924,all,3,2,27
loso_s2,2,20260924,all,3,3,0
loso_s2,2,20260924,all,3,4,0
loso_s2,2,20260924,all,4,1,119
loso_s2,2,20260924,all,4,2,25
loso_s2,2,20260924,all,4,3,0
loso_s2,2,20260924,all,4,4,0
loso_s2,2,20260924,unflagged,1,1,107
loso_s2,2,20260924,unflagged,1,2,31
loso_s2,2,20260924,unflagged,1,3,0
loso_s2,2,20260924,unflagged,1,4,0
loso_s2,2,20260924,unflagged,2,1,113
loso_s2,2,20260924,unflagged,2,2,27
loso_s2,2,20260924,unflagged,2,3,0
loso_s2,2,20260924,unflagged,2,4,0
loso_s2,2,20260924,unflagged,3,1,111
loso_s2,2,20260924,unflagged,3,2,24
loso_s2,2,20260924,unflagged,3,3,0
loso_s2,2,20260924,unflagged,3,4,0
loso_s2,2,20260924,unflagged,4,1,115
loso_s2,2,20260924,unflagged,4,2,25
loso_s2,2,20260924,unflagged,4,3,0
loso_s2,2,20260924,unflagged,4,4,0
loso_s2,2,20260924,flagged,1,1,4
loso_s2,2,20260924,flagged,1,2,2
loso_s2,2,20260924,flagged,1,3,0
loso_s2,2,20260924,flagged,1,4,0
loso_s2,2,20260924,flagged,2,1,4
loso_s2,2,20260924,flagged,2,2,0
loso_s2,2,20260924,flagged,2,3,0
loso_s2,2,20260924,flagged,2,4,0
loso_s2,2,20260924,flagged,3,1,6
loso_s2,2,20260924,flagged,3,2,3
loso_s2,2,20260924,flagged,3,3,0
loso_s2,2,20260924,flagged,3,4,0
loso_s2,2,20260924,flagged,4,1,4
loso_s2,2,20260924,flagged,4,2,0
loso_s2,2,20260924,flagged,4,3,0
loso_s2,2,20260924,flagged,4,4,0
loso_s2,2,20260925,all,1,1,136
loso_s2,2,20260925,all,1,2,3
loso_s2,2,20260925,all,1,3,5
loso_s2,2,20260925,all,1,4,0
loso_s2,2,20260925,all,2,1,142
loso_s2,2,20260925,all,2,2,1
loso_s2,2,20260925,all,2,3,1
loso_s2,2,20260925,all,2,4,0
loso_s2,2,20260925,all,3,1,135
loso_s2,2,20260925,all,3,2,6
loso_s2,2,20260925,all,3,3,3
loso_s2,2,20260925,all,3,4,0
loso_s2,2,20260925,all,4,1,137
loso_s2,2,20260925,all,4,2,5
loso_s2,2,20260925,all,4,3,2
loso_s2,2,20260925,all,4,4,0
loso_s2,2,20260925,unflagged,1,1,131
loso_s2,2,20260925,unflagged,1,2,3
loso_s2,2,20260925,unflagged,1,3,4
loso_s2,2,20260925,unflagged,1,4,0
loso_s2,2,20260925,unflagged,2,1,138
loso_s2,2,20260925,unflagged,2,2,1
loso_s2,2,20260925,unflagged,2,3,1
loso_s2,2,20260925,unflagged,2,4,0
loso_s2,2,20260925,unflagged,3,1,126
loso_s2,2,20260925,unflagged,3,2,6
loso_s2,2,20260925,unflagged,3,3,3
loso_s2,2,20260925,unflagged,3,4,0
loso_s2,2,20260925,unflagged,4,1,133
loso_s2,2,20260925,unflagged,4,2,5
loso_s2,2,20260925,unflagged,4,3,2
loso_s2,2,20260925,unflagged,4,4,0
loso_s2,2,20260925,flagged,1,1,5
loso_s2,2,20260925,flagged,1,2,0
loso_s2,2,20260925,flagged,1,3,1
loso_s2,2,20260925,flagged,1,4,0
loso_s2,2,20260925,flagged,2,1,4
loso_s2,2,20260925,flagged,2,2,0
loso_s2,2,20260925,flagged,2,3,0
loso_s2,2,20260925,flagged,2,4,0
loso_s2,2,20260925,flagged,3,1,9
loso_s2,2,20260925,flagged,3,2,0
loso_s2,2,20260925,flagged,3,3,0
loso_s2,2,20260925,flagged,3,4,0
loso_s2,2,20260925,flagged,4,1,4
loso_s2,2,20260925,flagged,4,2,0
loso_s2,2,20260925,flagged,4,3,0
loso_s2,2,20260925,flagged,4,4,0
loso_s2,2,20260926,all,1,1,126
loso_s2,2,20260926,all,1,2,18
loso_s2,2,20260926,all,1,3,0
loso_s2,2,20260926,all,1,4,0
loso_s2,2,20260926,all,2,1,125
loso_s2,2,20260926,all,2,2,19
loso_s2,2,20260926,all,2,3,0
loso_s2,2,20260926,all,2,4,0
loso_s2,2,20260926,all,3,1,121
loso_s2,2,20260926,all,3,2,23
loso_s2,2,20260926,all,3,3,0
loso_s2,2,20260926,all,3,4,0
loso_s2,2,20260926,all,4,1,133
loso_s2,2,20260926,all,4,2,11
loso_s2,2,20260926,all,4,3,0
loso_s2,2,20260926,all,4,4,0
loso_s2,2,20260926,unflagged,1,1,121
loso_s2,2,20260926,unflagged,1,2,17
loso_s2,2,20260926,unflagged,1,3,0
loso_s2,2,20260926,unflagged,1,4,0
loso_s2,2,20260926,unflagged,2,1,123
loso_s2,2,20260926,unflagged,2,2,17
loso_s2,2,20260926,unflagged,2,3,0
loso_s2,2,20260926,unflagged,2,4,0
loso_s2,2,20260926,unflagged,3,1,113
loso_s2,2,20260926,unflagged,3,2,22
loso_s2,2,20260926,unflagged,3,3,0
loso_s2,2,20260926,unflagged,3,4,0
loso_s2,2,20260926,unflagged,4,1,129
loso_s2,2,20260926,unflagged,4,2,11
loso_s2,2,20260926,unflagged,4,3,0
loso_s2,2,20260926,unflagged,4,4,0
loso_s2,2,20260926,flagged,1,1,5
loso_s2,2,20260926,flagged,1,2,1
loso_s2,2,20260926,flagged,1,3,0
loso_s2,2,20260926,flagged,1,4,0
loso_s2,2,20260926,flagged,2,1,2
loso_s2,2,20260926,flagged,2,2,2
loso_s2,2,20260926,flagged,2,3,0
loso_s2,2,20260926,flagged,2,4,0
loso_s2,2,20260926,flagged,3,1,8
loso_s2,2,20260926,flagged,3,2,1
loso_s2,2,20260926,flagged,3,3,0
loso_s2,2,20260926,flagged,3,4,0
loso_s2,2,20260926,flagged,4,1,4
loso_s2,2,20260926,flagged,4,2,0
loso_s2,2,20260926,flagged,4,3,0
loso_s2,2,20260926,flagged,4,4,0
