fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s1,1,20260924,all,1,1,108,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,all,1,2,26,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,all,1,3,9,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,all,1,4,1,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,all,2,1,15,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,all,2,2,117,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,all,2,3,12,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,all,2,4,0,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,all,3,1,29,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,all,3,2,10,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,all,3,3,69,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,all,3,4,36,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,all,4,1,36,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,all,4,2,4,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,all,4,3,51,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,all,4,4,53,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,unflagged,1,1,105,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,unflagged,1,2,26,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,unflagged,1,3,8,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,unflagged,1,4,1,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,unflagged,2,1,15,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,unflagged,2,2,114,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,unflagged,2,3,10,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,unflagged,2,4,0,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,unflagged,3,1,25,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,unflagged,3,2,9,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,unflagged,3,3,68,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,unflagged,3,4,35,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,unflagged,4,1,33,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,unflagged,4,2,3,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,unflagged,4,3,50,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,unflagged,4,4,52,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,flagged,1,1,3,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,flagged,1,2,0,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,flagged,1,3,1,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,flagged,1,4,0,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,flagged,2,1,0,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,flagged,2,2,3,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,flagged,2,3,2,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,flagged,2,4,0,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,flagged,3,1,4,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,flagged,3,2,1,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,flagged,3,3,1,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,flagged,3,4,1,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,flagged,4,1,3,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,flagged,4,2,1,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,flagged,4,3,1,TWO_BAND_EARLY_STACK
loso_s1,1,20260924,flagged,4,4,1,TWO_BAND_EARLY_STACK
