fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s1,1,20260924,all,1,1,82,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,all,1,2,25,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,all,1,3,37,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,all,1,4,0,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,all,2,1,3,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,all,2,2,112,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,all,2,3,29,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,all,2,4,0,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,all,3,1,12,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,all,3,2,4,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,all,3,3,125,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,all,3,4,3,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,all,4,1,17,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,all,4,2,0,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,all,4,3,118,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,all,4,4,9,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,unflagged,1,1,79,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,unflagged,1,2,25,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,unflagged,1,3,36,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,unflagged,1,4,0,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,unflagged,2,1,3,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,unflagged,2,2,108,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,unflagged,2,3,28,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,unflagged,2,4,0,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,unflagged,3,1,10,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,unflagged,3,2,4,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,unflagged,3,3,120,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,unflagged,3,4,3,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,unflagged,4,1,15,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,unflagged,4,2,0,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,unflagged,4,3,115,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,unflagged,4,4,8,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,flagged,1,1,3,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,flagged,1,2,0,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,flagged,1,3,1,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,flagged,1,4,0,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,flagged,2,1,0,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,flagged,2,2,4,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,flagged,2,3,1,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,flagged,2,4,0,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,flagged,3,1,2,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,flagged,3,2,0,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,flagged,3,3,5,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,flagged,3,4,0,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,flagged,4,1,2,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,flagged,4,2,0,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,flagged,4,3,3,TWO_BAND_INDEPENDENT
loso_s1,1,20260924,flagged,4,4,1,TWO_BAND_INDEPENDENT
