fold,subject,seed,stratum,true_label,predicted_label,count
loso_s4,4,20260924,all,1,1,41
loso_s4,4,20260924,all,1,2,71
loso_s4,4,20260924,all,1,3,32
loso_s4,4,20260924,all,1,4,0
loso_s4,4,20260924,all,2,1,12
loso_s4,4,20260924,all,2,2,124
loso_s4,4,20260924,all,2,3,8
loso_s4,4,20260924,all,2,4,0
loso_s4,4,20260924,all,3,1,43
loso_s4,4,20260924,all,3,2,56
loso_s4,4,20260924,all,3,3,27
loso_s4,4,20260924,all,3,4,18
loso_s4,4,20260924,all,4,1,17
loso_s4,4,20260924,all,4,2,89
loso_s4,4,20260924,all,4,3,22
loso_s4,4,20260924,all,4,4,16
loso_s4,4,20260924,unflagged,1,1,37
loso_s4,4,20260924,unflagged,1,2,60
loso_s4,4,20260924,unflagged,1,3,24
loso_s4,4,20260924,unflagged,1,4,0
loso_s4,4,20260924,unflagged,2,1,10
loso_s4,4,20260924,unflagged,2,2,106
loso_s4,4,20260924,unflagged,2,3,8
loso_s4,4,20260924,unflagged,2,4,0
loso_s4,4,20260924,unflagged,3,1,36
loso_s4,4,20260924,unflagged,3,2,49
loso_s4,4,20260924,unflagged,3,3,24
loso_s4,4,20260924,unflagged,3,4,17
loso_s4,4,20260924,unflagged,4,1,14
loso_s4,4,20260924,unflagged,4,2,73
loso_s4,4,20260924,unflagged,4,3,17
loso_s4,4,20260924,unflagged,4,4,15
loso_s4,4,20260924,flagged,1,1,4
loso_s4,4,20260924,flagged,1,2,11
loso_s4,4,20260924,flagged,1,3,8
loso_s4,4,20260924,flagged,1,4,0
loso_s4,4,20260924,flagged,2,1,2
loso_s4,4,20260924,flagged,2,2,18
loso_s4,4,20260924,flagged,2,3,0
loso_s4,4,20260924,flagged,2,4,0
loso_s4,4,20260924,flagged,3,1,7
loso_s4,4,20260924,flagged,3,2,7
loso_s4,4,20260924,flagged,3,3,3
loso_s4,4,20260924,flagged,3,4,1
loso_s4,4,20260924,flagged,4,1,3
loso_s4,4,20260924,flagged,4,2,16
loso_s4,4,20260924,flagged,4,3,5
loso_s4,4,20260924,flagged,4,4,1
