fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s1,1,20260924,all,1,1,115,SOURCE_BALANCED_ERM
loso_s1,1,20260924,all,1,2,26,SOURCE_BALANCED_ERM
loso_s1,1,20260924,all,1,3,2,SOURCE_BALANCED_ERM
loso_s1,1,20260924,all,1,4,1,SOURCE_BALANCED_ERM
loso_s1,1,20260924,all,2,1,20,SOURCE_BALANCED_ERM
loso_s1,1,20260924,all,2,2,123,SOURCE_BALANCED_ERM
loso_s1,1,20260924,all,2,3,1,SOURCE_BALANCED_ERM
loso_s1,1,20260924,all,2,4,0,SOURCE_BALANCED_ERM
loso_s1,1,20260924,all,3,1,29,SOURCE_BALANCED_ERM
loso_s1,1,20260924,all,3,2,13,SOURCE_BALANCED_ERM
loso_s1,1,20260924,all,3,3,97,SOURCE_BALANCED_ERM
loso_s1,1,20260924,all,3,4,5,SOURCE_BALANCED_ERM
loso_s1,1,20260924,all,4,1,26,SOURCE_BALANCED_ERM
loso_s1,1,20260924,all,4,2,4,SOURCE_BALANCED_ERM
loso_s1,1,20260924,all,4,3,107,SOURCE_BALANCED_ERM
loso_s1,1,20260924,all,4,4,7,SOURCE_BALANCED_ERM
loso_s1,1,20260924,unflagged,1,1,111,SOURCE_BALANCED_ERM
loso_s1,1,20260924,unflagged,1,2,26,SOURCE_BALANCED_ERM
loso_s1,1,20260924,unflagged,1,3,2,SOURCE_BALANCED_ERM
loso_s1,1,20260924,unflagged,1,4,1,SOURCE_BALANCED_ERM
loso_s1,1,20260924,unflagged,2,1,19,SOURCE_BALANCED_ERM
loso_s1,1,20260924,unflagged,2,2,119,SOURCE_BALANCED_ERM
loso_s1,1,20260924,unflagged,2,3,1,SOURCE_BALANCED_ERM
loso_s1,1,20260924,unflagged,2,4,0,SOURCE_BALANCED_ERM
loso_s1,1,20260924,unflagged,3,1,26,SOURCE_BALANCED_ERM
loso_s1,1,20260924,unflagged,3,2,12,SOURCE_BALANCED_ERM
loso_s1,1,20260924,unflagged,3,3,94,SOURCE_BALANCED_ERM
loso_s1,1,20260924,unflagged,3,4,5,SOURCE_BALANCED_ERM
loso_s1,1,20260924,unflagged,4,1,24,SOURCE_BALANCED_ERM
loso_s1,1,20260924,unflagged,4,2,4,SOURCE_BALANCED_ERM
loso_s1,1,20260924,unflagged,4,3,104,SOURCE_BALANCED_ERM
loso_s1,1,20260924,unflagged,4,4,6,SOURCE_BALANCED_ERM
loso_s1,1,20260924,flagged,1,1,4,SOURCE_BALANCED_ERM
loso_s1,1,20260924,flagged,1,2,0,SOURCE_BALANCED_ERM
loso_s1,1,20260924,flagged,1,3,0,SOURCE_BALANCED_ERM
loso_s1,1,20260924,flagged,1,4,0,SOURCE_BALANCED_ERM
loso_s1,1,20260924,flagged,2,1,1,SOURCE_BALANCED_ERM
loso_s1,1,20260924,flagged,2,2,4,SOURCE_BALANCED_ERM
loso_s1,1,20260924,flagged,2,3,0,SOURCE_BALANCED_ERM
loso_s1,1,20260924,flagged,2,4,0,SOURCE_BALANCED_ERM
loso_s1,1,20260924,flagged,3,1,3,SOURCE_BALANCED_ERM
loso_s1,1,20260924,flagged,3,2,1,SOURCE_BALANCED_ERM
loso_s1,1,20260924,flagged,3,3,3,SOURCE_BALANCED_ERM
loso_s1,1,20260924,flagged,3,4,0,SOURCE_BALANCED_ERM
loso_s1,1,20260924,flagged,4,1,2,SOURCE_BALANCED_ERM
loso_s1,1,20260924,flagged,4,2,0,SOURCE_BALANCED_ERM
loso_s1,1,20260924,flagged,4,3,3,SOURCE_BALANCED_ERM
loso_s1,1,20260924,flagged,4,4,1,SOURCE_BALANCED_ERM
