[watch] wait: workers_active; Q10=running; followup=waiting_for_q10
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
[watch] wait: workers_active; Q10=complete_validated; followup=running
