fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s1,1,20260925,all,1,1,66,SOURCE_BALANCED_ERM
loso_s1,1,20260925,all,1,2,33,SOURCE_BALANCED_ERM
loso_s1,1,20260925,all,1,3,37,SOURCE_BALANCED_ERM
loso_s1,1,20260925,all,1,4,8,SOURCE_BALANCED_ERM
loso_s1,1,20260925,all,2,1,5,SOURCE_BALANCED_ERM
loso_s1,1,20260925,all,2,2,133,SOURCE_BALANCED_ERM
loso_s1,1,20260925,all,2,3,6,SOURCE_BALANCED_ERM
loso_s1,1,20260925,all,2,4,0,SOURCE_BALANCED_ERM
loso_s1,1,20260925,all,3,1,9,SOURCE_BALANCED_ERM
loso_s1,1,20260925,all,3,2,6,SOURCE_BALANCED_ERM
loso_s1,1,20260925,all,3,3,88,SOURCE_BALANCED_ERM
loso_s1,1,20260925,all,3,4,41,SOURCE_BALANCED_ERM
loso_s1,1,20260925,all,4,1,3,SOURCE_BALANCED_ERM
loso_s1,1,20260925,all,4,2,1,SOURCE_BALANCED_ERM
loso_s1,1,20260925,all,4,3,87,SOURCE_BALANCED_ERM
loso_s1,1,20260925,all,4,4,53,SOURCE_BALANCED_ERM
loso_s1,1,20260925,unflagged,1,1,64,SOURCE_BALANCED_ERM
loso_s1,1,20260925,unflagged,1,2,33,SOURCE_BALANCED_ERM
loso_s1,1,20260925,unflagged,1,3,35,SOURCE_BALANCED_ERM
loso_s1,1,20260925,unflagged,1,4,8,SOURCE_BALANCED_ERM
loso_s1,1,20260925,unflagged,2,1,4,SOURCE_BALANCED_ERM
loso_s1,1,20260925,unflagged,2,2,130,SOURCE_BALANCED_ERM
loso_s1,1,20260925,unflagged,2,3,5,SOURCE_BALANCED_ERM
loso_s1,1,20260925,unflagged,2,4,0,SOURCE_BALANCED_ERM
loso_s1,1,20260925,unflagged,3,1,8,SOURCE_BALANCED_ERM
loso_s1,1,20260925,unflagged,3,2,5,SOURCE_BALANCED_ERM
loso_s1,1,20260925,unflagged,3,3,84,SOURCE_BALANCED_ERM
loso_s1,1,20260925,unflagged,3,4,40,SOURCE_BALANCED_ERM
loso_s1,1,20260925,unflagged,4,1,2,SOURCE_BALANCED_ERM
loso_s1,1,20260925,unflagged,4,2,1,SOURCE_BALANCED_ERM
loso_s1,1,20260925,unflagged,4,3,84,SOURCE_BALANCED_ERM
loso_s1,1,20260925,unflagged,4,4,51,SOURCE_BALANCED_ERM
loso_s1,1,20260925,flagged,1,1,2,SOURCE_BALANCED_ERM
loso_s1,1,20260925,flagged,1,2,0,SOURCE_BALANCED_ERM
loso_s1,1,20260925,flagged,1,3,2,SOURCE_BALANCED_ERM
loso_s1,1,20260925,flagged,1,4,0,SOURCE_BALANCED_ERM
loso_s1,1,20260925,flagged,2,1,1,SOURCE_BALANCED_ERM
loso_s1,1,20260925,flagged,2,2,3,SOURCE_BALANCED_ERM
loso_s1,1,20260925,flagged,2,3,1,SOURCE_BALANCED_ERM
loso_s1,1,20260925,flagged,2,4,0,SOURCE_BALANCED_ERM
loso_s1,1,20260925,flagged,3,1,1,SOURCE_BALANCED_ERM
loso_s1,1,20260925,flagged,3,2,1,SOURCE_BALANCED_ERM
loso_s1,1,20260925,flagged,3,3,4,SOURCE_BALANCED_ERM
loso_s1,1,20260925,flagged,3,4,1,SOURCE_BALANCED_ERM
loso_s1,1,20260925,flagged,4,1,1,SOURCE_BALANCED_ERM
loso_s1,1,20260925,flagged,4,2,0,SOURCE_BALANCED_ERM
loso_s1,1,20260925,flagged,4,3,3,SOURCE_BALANCED_ERM
loso_s1,1,20260925,flagged,4,4,2,SOURCE_BALANCED_ERM
